user_id,ab_group,sum_views,retention_1,retention_7
5985237,test,5,False,False
9721012,ctrl,4,False,False
4850980,ctrl,13,False,False
5461771,ctrl,13,False,True
6689369,ctrl,12,False,False
6515266,ctrl,32,True,False
7427524,ctrl,6,False,False
3751229,ctrl,24,True,False
4432759,ctrl,17,True,False
1223378,ctrl,10,False,False
6340796,ctrl,63,True,False
2859910,ctrl,1,False,False
6575299,ctrl,1,False,False
9156874,ctrl,18,False,False
7813952,ctrl,176,True,True
3978246,test,67,True,False
9362842,test,163,True,True
4823907,ctrl,19,False,False
6971643,ctrl,18,True,False
8743236,test,1,False,False
4666434,ctrl,41,False,False
6104417,ctrl,1,False,False
5737398,ctrl,11,False,False
1540808,ctrl,3,False,False
6441973,ctrl,11,False,False
2146042,ctrl,32,True,False
9703092,ctrl,15,True,False
9548208,test,7,False,False
83072,ctrl,11,True,False
1137406,test,11,True,False
9600108,ctrl,5,False,False
9808555,ctrl,0,False,False
6333301,test,1,False,False
2200364,test,12,False,False
9833690,test,58,True,False
1280682,test,10,False,False
2571476,ctrl,5,False,False
3778395,test,10,False,False
6466947,ctrl,74,True,False
8766886,ctrl,18,True,False
5631958,ctrl,28,True,False
8371027,ctrl,40,True,True
315570,ctrl,223,True,False
5793753,ctrl,2,False,False
9966523,ctrl,76,True,False
8638321,test,2,False,False
6774438,ctrl,3,False,False
7780963,ctrl,5,False,False
9188658,test,598,True,False
2695598,test,1,False,False
1357420,test,347,True,True
4172673,ctrl,15,False,False
9898515,ctrl,0,False,False
4716619,ctrl,266,True,False
4739614,test,9,True,False
3366069,ctrl,39,True,False
7837326,ctrl,5,True,False
4153398,ctrl,35,False,False
6271547,test,1,False,False
7356444,test,41,True,True
6591244,ctrl,189,True,False
721010,ctrl,4,False,False
7948232,test,211,True,False
7372534,ctrl,4,False,False
7909339,ctrl,0,False,False
5172243,ctrl,49,False,True
5560946,ctrl,24,False,True
3056271,test,6,False,False
3771711,ctrl,3,False,False
9083076,test,119,True,True
7401549,ctrl,65,True,False
214005,ctrl,21,False,False
3472097,ctrl,4,False,False
6386575,test,8,False,False
4307163,ctrl,4,False,False
7640398,ctrl,8,False,True
5414416,ctrl,58,False,True
7499411,test,14,False,False
4901578,test,418,True,True
913989,test,169,True,True
1595039,ctrl,36,True,False
4901267,ctrl,17,False,False
4005227,test,0,False,False
6278630,ctrl,263,True,True
7899339,ctrl,2,False,False
2317781,ctrl,124,True,False
9087443,ctrl,123,True,True
257998,test,15,True,False
8904350,ctrl,42,False,False
6059583,ctrl,39,True,False
9751725,ctrl,13,False,False
7010431,test,23,True,False
4399122,ctrl,2,True,False
8974704,ctrl,312,True,True
829861,test,106,True,False
5607182,test,26,True,True
5437281,ctrl,17,True,False
626171,ctrl,14,False,False
1239102,ctrl,50,True,False
7897796,ctrl,13,False,False
8581807,ctrl,272,True,False
7391845,ctrl,10,False,False
5529479,test,19,True,False
3788304,ctrl,5,False,False
3543556,test,115,False,True
4583705,ctrl,0,False,False
7716839,ctrl,15,False,False
5434765,test,42,True,False
2314559,test,13,False,True
2146371,ctrl,27,True,False
8854268,ctrl,3,True,False
8826792,ctrl,26,False,False
3760561,test,214,True,True
2646893,ctrl,42,True,False
1427126,test,0,False,False
4644937,ctrl,3,False,False
8357064,ctrl,2,False,False
6162933,ctrl,55,True,False
8522123,test,3,False,False
3977472,test,3,False,False
3016173,test,4,True,False
4992735,ctrl,79,True,True
2125356,test,6,True,False
2309492,test,1,False,False
2030806,test,17,False,False
2522624,test,6,False,False
6163419,test,1,False,False
5929583,ctrl,5,False,False
3981413,ctrl,2,False,False
4493535,ctrl,36,True,True
9371046,ctrl,3,False,False
6398279,ctrl,8,True,True
8330893,ctrl,1,False,False
4047058,test,58,True,False
5308929,test,9,True,False
6292334,ctrl,11,False,False
9833478,ctrl,68,True,False
7101936,ctrl,41,False,False
4714949,test,35,False,False
943963,test,4,False,False
4024824,test,195,True,True
33703,test,43,True,False
1959425,test,18,False,True
4233308,test,2,False,False
1858315,test,28,True,False
5074259,ctrl,34,False,False
604766,ctrl,41,True,True
2200546,test,5,False,False
1092122,ctrl,0,False,False
5699747,ctrl,100,True,True
2469038,ctrl,1,False,False
1782696,ctrl,3,False,False
2803772,test,69,True,False
8561371,ctrl,59,True,False
3738641,test,316,True,True
1017049,test,14,False,True
8517609,test,26,True,False
3850415,test,1,False,False
1654255,ctrl,55,True,False
5074044,test,27,False,False
4207391,test,1,False,False
6655070,ctrl,4,False,False
4403855,ctrl,38,True,False
7682415,ctrl,39,False,False
4723410,test,56,True,False
8856430,test,6,False,False
6272523,ctrl,39,True,False
5967635,ctrl,33,False,True
2752607,test,13,False,False
2624632,ctrl,44,True,False
6271753,ctrl,1,True,False
9092681,ctrl,9,True,False
8518565,ctrl,82,True,False
601924,ctrl,7,False,False
7142728,ctrl,11,True,False
9549301,ctrl,4,False,False
2562323,ctrl,4,True,False
9039193,test,12,True,False
6787024,test,7,False,False
2596705,test,43,True,False
1746090,test,38,False,False
5893708,ctrl,5,False,False
6445554,test,1,False,False
298373,ctrl,24,False,False
6973750,test,162,True,False
4593540,test,10,False,False
3117982,ctrl,11,False,False
2777847,ctrl,272,True,False
6534575,test,10,False,False
9547417,ctrl,18,False,False
1504243,ctrl,275,True,False
